grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;137300810002;Conhecimento;202309;55;14;7;74;525;182;114;690
G1;137300810002;Execução Judicial;202309;2;1;2;3;31;28;27;49
G1;137300810002;Execução Judicial;202310;1;5;5;3;32;33;32;52
G1;137300810002;Conhecimento;202310;76;22;7;105;601;204;121;795
G1;137300810002;Execução Judicial;202311;3;3;2;3;35;36;34;55
G1;137300810002;Conhecimento;202311;47;26;22;57;648;230;143;852
G1;137300810002;Conhecimento;202312;130;13;8;75;778;243;151;927
G1;137300810002;Execução Judicial;202312;3;3;2;10;38;39;36;65
G1;137300810002;Execução Judicial;202401;6;0;0;4;42;38;36;65
G1;137300810002;Conhecimento;202401;39;32;26;68;777;256;162;914
G1;137300810002;Conhecimento;202402;76;18;9;96;815;262;158;952
G1;137300810002;Execução Judicial;202402;6;1;1;3;45;39;36;64
G1;137300810002;Conhecimento;202403;100;14;8;94;867;269;162;978
G1;137300810002;Execução Judicial;202403;3;1;0;21;41;38;34;84
G1;137300810002;Execução Judicial;202404;19;6;4;41;60;43;37;123
G1;137300810002;Conhecimento;202404;145;41;20;152;978;298;177;1038
G1;137300810002;Execução Judicial;202405;25;0;0;30;80;40;33;150
G1;137300810002;Conhecimento;202405;153;23;16;98;1079;299;187;1040
G1;137300810002;Conhecimento;202406;116;30;9;105;1076;286;189;1076
G1;137300810002;Execução Judicial;202406;24;0;0;25;99;38;33;148
G1;137300810002;Execução Judicial;202407;47;2;1;43;144;24;18;188
G1;137300810002;Conhecimento;202407;219;19;7;82;1210;283;173;1075
G1;137300810002;Conhecimento;202408;145;24;6;146;1301;276;145;1152
G1;137300810002;Execução Judicial;202408;12;1;0;13;151;23;17;199
G1;137300810002;Execução Judicial;202409;23;1;1;18;172;23;16;214
G1;137300810002;Conhecimento;202409;131;21;10;67;1377;283;148;1145
G1;137300810002;Execução Judicial;202410;20;1;1;25;191;19;12;236
G1;137300810002;Conhecimento;202410;110;29;12;99;1411;290;153;1139
